sample_id,sample_name,parameter,soil_type,land_use,concentration_value,guideline_value,exceedance_ratio,exceedance_type
77,BH26-77,cadmium,coarse,natural area,8.36,3.8,2.2,above_max
77,BH26-77,benzene,fine,natural area,7.87,0.046,171.09,above_max
78,BH26-78,cadmium,fine,agricultural,8.96,1.4,6.4,above_max
78,BH26-78,benzene,coarse,agricultural,47.7,0.073,653.42,above_max
79,BH26-79,cadmium,coarse,agricultural,36.98,1.4,26.41,above_max
79,BH26-79,benzene,fine,agricultural,42.45,0.046,922.83,above_max
80,BH26-80,cadmium,coarse,industrial,44.87,22.0,2.04,above_max
80,BH26-80,benzene,coarse,industrial,35.04,0.078,449.23,above_max
81,BH26-81,cadmium,coarse,natural area,15.71,3.8,4.13,above_max
81,BH26-81,benzene,coarse,natural area,19.82,0.078,254.1,above_max
82,BH26-82,cadmium,fine,natural area,6.08,3.8,1.6,above_max
82,BH26-82,benzene,fine,natural area,6.14,0.046,133.48,above_max
83,BH26-83,cadmium,fine,natural area,13.76,3.8,3.62,above_max
83,BH26-83,benzene,coarse,natural area,49.47,0.078,634.23,above_max
84,BH26-84,benzene,fine,natural area,17.75,0.046,385.87,above_max
85,BH26-85,cadmium,coarse,agricultural,41.84,1.4,29.89,above_max
85,BH26-85,nickel,fine,agricultural,45.9,45.0,1.02,above_max
85,BH26-85,benzene,fine,agricultural,2.99,0.046,65.0,above_max
86,BH26-86,cadmium,coarse,natural area,6.83,3.8,1.8,above_max
86,BH26-86,benzene,fine,natural area,42.54,0.046,924.78,above_max
87,BH26-87,cadmium,fine,natural area,17.35,3.8,4.57,above_max
87,BH26-87,benzene,coarse,natural area,24.66,0.078,316.15,above_max
88,BH26-88,benzene,coarse,natural area,20.47,0.078,262.44,above_max
89,BH26-89,benzene,fine,industrial,18.56,0.046,403.48,above_max
90,BH26-90,benzene,fine,industrial,25.11,0.046,545.87,above_max
91,BH26-91,cadmium,fine,natural area,3.93,3.8,1.03,above_max
91,BH26-91,benzene,fine,natural area,5.63,0.046,122.39,above_max
92,BH26-92,cadmium,fine,natural area,28.61,3.8,7.53,above_max
92,BH26-92,nickel,fine,natural area,46.04,45.0,1.02,above_max
92,BH26-92,benzene,fine,natural area,14.02,0.046,304.78,above_max
93,BH26-93,benzene,coarse,industrial,41.85,0.078,536.54,above_max
94,BH26-94,benzene,fine,industrial,13.46,0.046,292.61,above_max
95,BH26-95,cadmium,coarse,natural area,30.42,3.8,8.01,above_max
95,BH26-95,benzene,fine,natural area,14.93,0.046,324.57,above_max
96,BH26-96,cadmium,coarse,natural area,44.99,3.8,11.84,above_max
96,BH26-96,benzene,coarse,natural area,45.33,0.078,581.15,above_max
97,BH26-97,cadmium,fine,industrial,47.35,22.0,2.15,above_max
97,BH26-97,benzene,coarse,industrial,43.38,0.078,556.15,above_max
98,BH26-98,cadmium,fine,natural area,7.17,3.8,1.89,above_max
98,BH26-98,benzene,coarse,natural area,20.18,0.078,258.72,above_max
99,BH26-99,cadmium,coarse,agricultural,11.32,1.4,8.09,above_max
99,BH26-99,benzene,coarse,agricultural,37.51,0.073,513.84,above_max
100,BH26-100,cadmium,fine,agricultural,18.77,1.4,13.41,above_max
100,BH26-100,benzene,coarse,agricultural,31.14,0.073,426.58,above_max
101,BH26-30-DUP1,cadmium,coarse,agricultural,41.58,1.4,29.7,above_max
101,BH26-30-DUP1,nickel,coarse,agricultural,45.34,45.0,1.01,above_max
101,BH26-30-DUP1,benzene,coarse,agricultural,36.18,0.073,495.62,above_max
102,BH26-29-DUP2,cadmium,fine,natural area,40.08,3.8,10.55,above_max
102,BH26-29-DUP2,benzene,coarse,natural area,13.6,0.078,174.36,above_max
103,BH26-04-DUP3,benzene,coarse,industrial,48.89,0.078,626.79,above_max
104,BH26-85-DUP4,benzene,coarse,industrial,3.95,0.078,50.64,above_max
105,BH26-25-DUP5,cadmium,coarse,agricultural,41.3,1.4,29.5,above_max
105,BH26-25-DUP5,benzene,fine,agricultural,5.71,0.046,124.13,above_max
106,BH26-52-DUP6,cadmium,coarse,industrial,41.09,22.0,1.87,above_max
106,BH26-52-DUP6,benzene,fine,industrial,48.19,0.046,1047.61,above_max
107,BH26-43-DUP7,cadmium,coarse,natural area,5.19,3.8,1.37,above_max
107,BH26-43-DUP7,benzene,fine,natural area,35.6,0.046,773.91,above_max
108,BH26-36-DUP8,cadmium,coarse,agricultural,25.2,1.4,18.0,above_max
108,BH26-36-DUP8,benzene,coarse,agricultural,2.66,0.073,36.44,above_max
109,BH26-09-DUP9,benzene,coarse,industrial,10.16,0.078,130.26,above_max
110,BH26-99-DUP10,cadmium,fine,industrial,22.45,22.0,1.02,above_max
110,BH26-99-DUP10,benzene,coarse,industrial,38.69,0.078,496.03,above_max
